epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2755.038171841222,
0,99,,,2792.5119642638956,
0,149,,,2587.2169122462356,
0,199,,,2122.382076974254,
0,249,,,2130.1531518489924,
0,299,,,2202.1900298125875,
0,349,,,2348.737527715022,
0,399,,,2466.3782502438844,
0,449,,,2065.788018305729,
0,499,,,2356.908040757936,
0,549,,,2374.90797657054,
0,599,,,1895.3271991962906,
0,649,,,2229.634230295989,
0,699,,,1988.1034758555334,
0,749,,,2514.77893894748,
0,799,,,2232.1786648562743,
0,849,,,2481.6264061081642,
0,899,,,2401.07595459594,
0,949,,,2305.018025537531,
0,999,,,1843.805204622854,
0,1049,,,2447.5416620809715,
0,1099,,,2446.2501643302435,
0,1149,,,2193.2173581713178,
0,1199,,,2357.3264273372024,
0,1249,,,2063.295352612052,
0,1299,,,2443.178472774134,
0,1349,,,2125.3635160823915,
0,1399,,,2379.2641765962117,
0,1449,,,2459.504540765599,
0,1499,,,2447.488501911156,
0,1549,,,2376.784159414391,
0,1599,,,2784.3415782606744,
0,1649,,,2387.8791302839318,
0,1669,,,,2274.442319808397
0,1669,,2359.8765846775927,,
1,1699,,,2851.614789937511,
1,1749,,,2867.17547101472,
1,1799,,,1738.2290471164752,
1,1849,,,2637.509267446021,
1,1899,,,2075.221944889445,
1,1949,,,2029.1573377449317,
1,1999,,,2253.728421835478,
1,2049,,,2482.54179193338,
1,2099,,,2695.3837029097594,
1,2149,,,2488.2626116085794,
1,2199,,,1947.2618262004403,
1,2249,,,2110.9070845618917,
1,2299,,,2374.7842130369468,
1,2349,,,2293.2300288364304,
1,2399,,,2564.291108089735,
1,2449,,,2082.5628806679842,
1,2499,,,2718.1607739006295,
1,2549,,,2341.1678132642123,
1,2599,,,2437.6880131439193,
1,2649,,,2092.736067630038,
1,2699,,,1935.8325532178064,
1,2749,,,2414.616712695385,
1,2799,,,2324.8761800676693,
1,2849,,,2357.925437031989,
1,2899,,,2125.2135203322523,
1,2949,,,2899.438660986944,
1,2999,,,2302.385211570416,
1,3049,,,2078.765588690373,
1,3099,,,2663.071119833957,
1,3149,,,2098.973149616666,
1,3199,,,2184.5818307580885,
1,3249,,,2250.844099821469,
1,3299,,,2263.8084470836247,
1,3339,,,,2273.644817889941
1,3339,,2320.6503153404105,,
2,3349,,,2212.669361820738,
2,3399,,,2428.1775141372545,
2,3449,,,2346.004173501532,
2,3466,2315.854767174243,,,
