epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,3308.51488723301,
0,99,,1551.8204138985493,
0,149,,3223.4552589717628,
0,199,,2780.1050653870398,
0,249,,1848.4995341608217,
0,299,,1970.5793236003801,
0,349,,2003.0216109564667,
0,399,,2768.216117892155,
0,449,,2561.181792070964,
0,499,,2040.5494325027696,
0,549,,2046.828272163535,
0,599,,1766.5317798522847,
0,649,,2700.7941994472917,
0,699,,2455.888419216365,
0,749,,2525.2752129231144,
0,799,,2246.9583706400913,
0,849,,2292.6309865091553,
0,899,,3291.588662184495,
0,949,,2769.8170927698243,
0,999,,3159.9373835428964,
0,1049,,2751.673691330341,
0,1099,,2780.6232874989023,
0,1149,,2877.1177948815607,
0,1199,,2342.9574823325192,
0,1249,,2442.3165291190408,
0,1299,,2809.540956818664,
0,1349,,2876.6867140489867,
0,1399,,2660.9290309716384,
0,1449,,2125.0475598713874,
0,1499,,3260.285304691526,
0,1549,,1834.9713962585624,
0,1599,,2713.674963769375,
0,1649,,3039.0490579680927,
0,1699,,2505.121068813465,
0,1749,,1776.710525895048,
0,1799,,2457.8383664941484,
0,1849,,1762.689545669394,
0,1899,,2731.933507387102,
0,1949,,3043.043390284883,
0,1999,,2278.152122195027,
0,2049,,2568.8011027361904,
0,2099,,2297.2814516308636,
0,2149,,3510.9684664195624,
0,2199,,2423.552681982779,
0,2249,,2399.299594231131,
0,2299,,2451.471593754182,
0,2349,,2355.5746888997637,
0,2399,,1377.6672825496034,
0,2449,,2058.9922771369484,
0,2499,,2855.9096813782226,
0,2549,,2815.502921974979,
0,2599,,3175.6143810228577,
0,2649,,2657.548010407238,
0,2699,,2232.869430958081,
0,2749,,2769.2253793469135,
0,2799,,2544.8463203429483,
0,2849,,2284.846553636797,
0,2899,,2636.7870648612898,
0,2949,,2385.7097978629918,
0,2999,,1861.4739314285775,
0,3049,,1663.6181164975421,
0,3099,,2179.492616598599,
0,3149,,2312.799504107458,
0,3199,,1980.8117090420244,
0,3249,,2126.956052201015,
0,3299,,2040.3652012208236,
0,3349,,2681.8972814143217,
0,3399,,2746.903810609023,
0,3449,,2685.736922887937,
0,3499,,1603.963733930701,
0,3549,,3300.825458812543,
0,3599,,2441.220574172051,
0,3649,,1854.9341887326764,
0,3699,,2006.5765495169874,
0,3749,,1940.6546969130773,
0,3799,,2057.6292264580225,
0,3849,,3505.3844012870186,
0,3899,,2691.5931631020676,
0,3949,,2170.771104225648,
0,3999,,2628.1895850603787,
0,4049,,1691.7625322297072,
0,4099,,2502.615263429371,
0,4149,,2426.8700497817244,
0,4199,,1730.0681282375997,
0,4249,,1720.265818548123,
0,4299,,2306.2154078138565,
0,4349,,2236.1468508061366,
0,4399,,2806.201269041483,
0,4449,,2573.467251634805,
0,4499,,2011.278121754593,
0,4549,,1847.021815371883,
0,4599,,3013.5967887502147,
0,4649,,2354.603778294665,
0,4699,,2095.981962637108,
0,4749,,2062.8518634286243,
0,4799,,2417.1422488857143,
0,4849,,2395.1462710759506,
0,4899,,2173.2056449744823,
0,4949,,2108.309345378314,
0,4999,,3598.8523696708994,
0,5049,,1648.7988314568827,
0,5099,,2222.2599273698925,
0,5149,,2641.90152319807,
0,5199,,2533.1481826493873,
0,5249,,2521.3575991682314,
0,5299,,2145.2444000067508,
0,5349,,2673.3525264769996,
0,5399,,1671.4983738767774,
0,5449,,2471.2351371560617,
0,5499,,2021.6989615405507,
0,5549,,2970.685994370983,
0,5599,,2297.7026836864584,
0,5649,,2768.271897687129,
0,5699,,2057.2098390669257,
0,5749,,1993.6652825808876,
0,5799,,2496.1908872007743,
0,5849,,1614.0253628502062,
0,5899,,2100.262986841438,
0,5949,,2137.6210658550704,
0,5999,,2883.535009806776,
0,6049,,1860.2666052969334,
0,6099,,1687.7652569907204,
0,6149,,2487.526861665201,
0,6199,,2836.5878417484782,
0,6249,,3107.539268040033,
0,6299,,1982.8239123269145,
0,6349,,2357.7215284084723,
0,6399,,2116.1770422191657,
0,6449,,2339.4092767600114,
0,6499,,1969.3078720530782,
0,6549,,2626.2994161445367,
0,6599,,2525.8133585230617,
0,6649,,2254.9082658617353,
0,6681,,,7379.655056106709
0,6681,3363.3176717931115,,
1,6699,,2392.8684065622283,
1,6749,,2212.68714973918,
1,6799,,2699.599044402774,
1,6849,,2464.9025024722387,
1,6899,,1501.2884344530094,
1,6949,,2405.672910661845,
1,6999,,2259.844798766123,
1,7049,,3030.5009450263306,
1,7099,,3437.2962974585303,
1,7149,,3094.2012344034797,
1,7199,,2393.551452312771,
1,7249,,3131.304660804686,
1,7299,,2342.389847559494,
1,7349,,2294.8089484033317,
1,7399,,2143.4332151153867,
1,7449,,2449.2627570593086,
1,7499,,2436.3051188837317,
1,7549,,2186.58108792424,
1,7599,,1810.1997117305425,
1,7649,,1966.5134296909762,
1,7699,,2688.0820639188223,
1,7749,,2517.0645303680667,
1,7799,,1632.1407307946056,
1,7849,,3774.0394446007026,
1,7899,,2359.3804536619955,
1,7949,,2414.4293257571007,
1,7999,,3544.273532814557,
1,8049,,2575.454760793001,
1,8099,,1878.3194918672884,
1,8149,,1970.0363494542903,
1,8199,,1908.4265322179067,
1,8249,,2726.059128532426,
1,8299,,1546.2053647752412,
1,8349,,3092.1610598500747,
1,8399,,2928.868224798664,
1,8449,,2517.9694017552083,
1,8499,,2016.0789395288875,
1,8549,,2240.554849231691,
1,8599,,2082.705675815464,
1,8649,,2615.3883085967027,
1,8699,,1709.071621569345,
1,8749,,2717.4506615110513,
1,8799,,3188.2732414479456,
1,8849,,2514.960489540892,
1,8899,,1985.1771175676113,
1,8949,,2206.216778195564,
1,8999,,2008.9658275875468,
1,9049,,2268.300358013854,
1,9099,,1788.9426268909422,
1,9149,,1674.6833758455214,
1,9199,,2229.2543663797396,
1,9249,,2723.2922752613877,
1,9299,,2199.2300769131416,
1,9349,,2207.4316513924077,
1,9399,,3211.787211875699,
1,9449,,2739.673223785131,
1,9499,,2473.926890045418,
1,9549,,1842.8570271470942,
1,9599,,2115.3294961663605,
1,9649,,1833.0315967714014,
1,9699,,3314.7885925153764,
1,9749,,1952.6666890244696,
1,9799,,2202.3230648368353,
1,9849,,2088.5718428529417,
1,9899,,2432.1539612737615,
1,9949,,2665.005710266154,
1,9999,,2005.5700029392233,
1,10049,,2048.1938743498486,
1,10099,,2500.257826302404,
1,10149,,2159.1245564479223,
1,10199,,1999.4583316580404,
1,10249,,1529.7549071930036,
1,10299,,1952.2359086525018,
1,10349,,2294.2842955192828,
1,10399,,2226.0886473920664,
1,10449,,2529.666650300268,
1,10499,,2416.873527785894,
1,10549,,2057.9661420823013,
1,10599,,1935.5678749718877,
1,10649,,3393.8459214889804,
1,10699,,2543.940222055485,
1,10749,,2009.9529017030638,
1,10799,,2679.4883616162806,
1,10849,,2285.9526077548944,
1,10899,,3030.9049152971556,
1,10949,,2818.5672283650397,
1,10999,,2143.5564617758,
1,11049,,2609.518915982242,
1,11099,,2284.1291906813403,
1,11149,,2346.6405862533,
1,11199,,2739.624272909099,
1,11249,,1915.4414520837036,
1,11299,,2905.8132473085566,
1,11349,,2691.4286685719853,
1,11399,,2997.5762353269,
1,11449,,2455.3414618141132,
1,11499,,2183.8707375812473,
1,11549,,2163.7306393411495,
1,11599,,2412.567823715991,
1,11649,,2624.572351934882,
1,11699,,1950.371988790676,
1,11749,,1871.5544388130895,
1,11799,,2582.2333595445825,
1,11849,,2964.2579862931657,
1,11899,,2233.711615618459,
1,11949,,2436.524827239912,
1,11999,,1837.1374070422637,
1,12049,,2586.2279804753334,
1,12099,,2334.5204017793812,
1,12149,,2956.549861463465,
1,12199,,2762.2624563812888,
1,12249,,2482.757217789358,
1,12299,,2119.652658652467,
1,12349,,1795.3337910519995,
1,12399,,2381.6403318291464,
1,12449,,3004.114079365834,
1,12499,,2518.221518397975,
1,12549,,2366.6808333324634,
1,12599,,2855.941185103847,
1,12649,,2284.527412114907,
1,12699,,2172.111001344413,
1,12749,,1596.6267712905171,
1,12799,,2462.628501117189,
1,12849,,3843.4434928509063,
1,12899,,3607.644594547423,
1,12949,,2281.145490552257,
1,12999,,3150.4593498086715,
1,13049,,2616.2281202314557,
1,13099,,1496.1961497946872,
1,13149,,2602.3395573139846,
1,13199,,2721.9916455111556,
1,13249,,2363.4242327037446,
1,13299,,2026.0574796491755,
1,13349,,1921.6390953807409,
1,13363,,,7299.822900770564
1,13363,3310.173937369375,,
2,13399,,2204.780378120039,
2,13449,,2763.909082084811,
2,13499,,1813.296209493801,
2,13549,,1891.0550250839651,
2,13599,,1611.3708388947744,
2,13649,,2027.467124809627,
2,13699,,1349.2087745725003,
2,13749,,3492.4566502229704,
2,13799,,2352.7631122826806,
2,13849,,3185.0074160565764,
2,13899,,3452.6441317265844,
