epoch,step,val_loss
0,1027,1924.2242528421586
1,2055,1429.0863379693103
2,3083,807.2457423510325
3,4111,632.5624030954431
4,5139,540.5704192897043
5,6167,507.0244694895841
6,7195,489.719523339402
7,8223,475.04444271728573
8,9251,459.2936128789979
9,10279,450.61533902626445
10,11307,444.2155033867421
11,12335,440.11004214575024
12,13363,437.34061345143715
13,14391,434.82165866431376
14,15419,431.5489425178117
15,16447,429.1182968983991
16,17475,426.6943906802863
17,18503,426.376781816173
18,19531,423.97831208531846
19,20559,421.5650899322913
20,21587,419.94751132739447
21,22615,418.7269658974698
22,23643,418.01007322913733
23,24671,416.070682684308
24,25699,414.86387793647896
25,26727,413.7163956994
26,27755,412.78957197137
27,28783,411.5966081287484
28,29811,410.8096879382165
29,30839,409.9951368734669
30,31867,408.75856657261124
31,32895,407.4062657632116
32,33923,406.43271864071073
33,34951,405.7054072523631
34,35979,405.24550512660943
35,37007,404.2226933675583
36,38035,403.40501307049925
37,39063,402.61269736101053
38,40091,401.5292664145007
39,41119,401.0504825404238
40,42147,400.64984707055834
41,43175,399.98465914955085
42,44203,399.86243766277073
43,45231,399.31534500548054
44,46259,398.109271248829
45,47287,397.66329424177246
46,48315,397.20895954224807
47,49343,396.7898591467401
48,50371,396.2437313958328
49,51399,395.8903308378662
50,52427,396.55523250669467
51,53455,394.98856340188
52,54483,395.3398091128067
53,55511,394.434005225495
54,56539,394.30149316015786
55,57567,393.5065286048814
56,58595,393.39015790338374
57,59623,392.75669571015084
58,60651,392.6600205009092
59,61679,393.7454458655662
60,62707,391.76043097583994
61,63735,392.3494161457678
62,64763,391.4604185385917
63,65791,391.1557928297602
64,66819,391.16385927671183
65,67847,390.5071443696853
66,68875,390.5258937755708
67,69903,390.3653791277146
68,70931,390.3558443344243
69,71959,389.62113311980306
70,72987,389.2983327275936
71,74015,389.40916879438265
72,75043,389.44696013784153
73,76071,388.76500489534334
74,77099,388.68745098151214
75,78127,388.32277114320556
76,79155,388.55897076989476
77,80183,387.86495947879945
78,81211,388.06236690451584
79,82239,387.73391455457005
80,83267,387.9347604435998
81,84295,390.58625220331487
82,85323,387.49175219707223
83,86351,386.8226090216455
84,87379,386.92045284897114
85,88407,386.53658752468215
86,89435,386.2627441551516
87,90463,386.06067958534777
88,91491,386.3909629434348
89,92519,386.4608268477976
90,93547,385.99025779071803
91,94575,385.69843720796786
92,95603,385.7068960535091
93,96631,387.3883581899592
94,97659,385.16886674745484
95,98687,384.9161194295373
96,99715,384.87713839949623
97,100743,384.70702465642944
98,101771,384.7621270548155
99,102799,384.3916181386755
100,103827,384.5264577065635
101,104855,384.14916508927314
102,105883,384.3286659586306
103,106911,385.9044351487442
104,107939,383.718760430016
105,108967,384.10086060462794
106,109995,384.75736918551314
107,111023,383.3439935346264
108,112051,383.5602256458203
109,113079,383.9734921132708
110,114107,383.0926424842614
111,115135,383.02408678686663
112,116163,383.73095490354007
113,117191,382.7837665427331
114,118219,382.75083874398746
115,119247,382.5383140359626
116,120275,384.63133993843485
117,121303,383.14274419833
118,122331,382.3555951623649
119,123359,382.3317094359258
120,124387,382.188188321624
121,125415,382.02645570534
122,126443,382.1572370370338
123,127471,381.85067168748196
124,128499,381.94566582786166
125,129527,382.5527272515482
126,130555,381.48162420359495
127,131583,381.8184470368331
128,132611,381.46314469956945
129,133639,383.53064793251286
130,134667,381.64183706991463
131,135695,381.4555511411329
132,136723,383.61509291781766
133,137751,380.89799707753053
134,138779,381.09136240059655
135,139807,380.93891995240904
136,140835,380.76595623529437
137,141863,380.78090843792165
138,142891,381.686558042913
139,143919,380.5523208165006
140,144947,380.6828991703859
141,145975,380.369836398954
142,147003,380.60349487073495
143,148031,380.4411480094312
144,149059,380.6323202787169
145,150087,380.4188557873746
146,151115,380.0986005143456
147,152143,380.5155508035878
148,153171,380.2317666975245
149,154199,380.04828186665924
150,155227,380.2133000926418
151,156255,379.5309789110704
152,157283,380.2826105040072
153,158311,380.9720599547189
154,159339,380.32354147689887
155,160367,379.6278846331664
156,161395,380.4055348094316
157,162423,381.11675819666186
158,163451,379.1475083126499
159,164479,379.6139973861072
160,165507,379.1355777780025
161,166535,379.1703807673047
162,167563,379.0829737921685
163,168591,379.1369287562439
164,169619,379.22828511593156
165,170647,379.13021063615474
166,171675,379.93907636503013
167,172703,379.4527925889029
168,173731,378.7160886277965
169,174759,378.68204472442886
170,175787,379.5646385674279
171,176815,379.93662803930175
172,177843,378.74608505185574
173,178871,378.7577768869532
174,179899,382.53419622189875
175,180927,378.3811452038589
176,181955,378.51954430865396
177,182983,379.21522091200353
178,184011,378.2068472938394
179,185039,378.3275654251162
180,186067,378.62790199544025
181,187095,378.4792374091442
182,188123,378.0588169108859
183,189151,378.07884050401634
184,190179,378.29940417966185
185,191207,378.06953781456457
186,192235,377.8757876405888
187,193263,378.29475505058065
188,194291,377.694142445614
189,195319,377.5756975180039
190,196347,377.874494252271
191,197375,378.159084328456
192,198403,377.6465850877665
193,199431,377.5476146933946
194,200459,378.3938313353021
195,201487,378.3506918827253
196,202515,377.7294967421953
197,203543,377.90325326014704
198,204571,377.56510732295646
199,205599,377.4372135869507
200,206627,379.32277564615424
