epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,4.956776244622019e+35,
0,99,,,4.0574524921157476e+35,
0,149,,,3.3212959216462873e+35,
0,199,,,2.7187025900067083e+35,
0,249,,,2.2254396919999433e+35,
0,299,,,1.8216710577071917e+35,
0,349,,,1.4911594569007658e+35,
0,399,,,1.2206136319161924e+35,
0,449,,,9.991538004367754e+34,
0,499,,,8.178741338158301e+34,
0,549,,,6.694846163549398e+34,
0,599,,,5.480178831977209e+34,
0,649,,,4.485892475612746e+34,
0,699,,,3.672002669938186e+34,
0,749,,,3.005779492338676e+34,
0,799,,,2.460431314641677e+34,
0,849,,,2.0140273993815886e+34,
0,899,,,1.6486159728667304e+34,
0,949,,,1.349502309067824e+34,
0,999,,,1.1046577930533045e+34,
0,1049,,,9.042361999338144e+33,
0,1099,,,7.401777368634294e+33,
0,1149,,,6.058849249658097e+33,
0,1199,,,4.959572870381509e+33,
0,1249,,,4.0597417171276076e+33,
0,1299,,,3.3231698052494604e+33,
0,1349,,,2.7202364889201143e+33,
0,1399,,,2.2266952907322075e+33,
0,1449,,,1.8226988491494322e+33,
0,1499,,,1.4920007728575254e+33,
0,1549,,,1.221302305230651e+33,
0,1599,,,9.997175255512649e+32,
0,1649,,,8.183355804815205e+32,
0,1669,,,,7.523400270570847e+32
0,1669,,8.342757529906005e+37,,
1,1699,,,6.698623412776086e+32,
1,1749,,,5.4832707628072075e+32,
1,1799,,,4.488423427552572e+32,
1,1849,,,3.6740744231803965e+32,
1,1899,,,3.0074753607702558e+32,
1,1949,,,2.4618194962448848e+32,
1,1999,,,2.0151637187608507e+32,
1,2049,,,1.6495461261901153e+32,
1,2099,,,1.3502637017016172e+32,
1,2149,,,1.1052810437886609e+32,
1,2199,,,9.047463722967742e+31,
1,2249,,,7.405953470244166e+31,
1,2299,,,6.0622676678089435e+31,
1,2349,,,4.962371074004333e+31,
1,2399,,,4.062032233726001e+31,
1,2449,,,3.3250447461024935e+31,
1,2499,,,2.7217712532631587e+31,
1,2549,,,2.2279515978764434e+31,
1,2599,,,1.8237272204741984e+31,
1,2649,,,1.4928425634868776e+31,
1,2699,,,1.2219913670963381e+31,
1,2749,,,1.0002815687208865e+31,
1,2799,,,8.187972874965884e+30,
1,2849,,,6.702402793136319e+30,
1,2899,,,5.486364438112379e+30,
1,2949,,,4.4909558074618496e+30,
1,2999,,,3.676147345311007e+30,
1,3049,,,3.009172186015069e+30,
1,3099,,,2.463208461063665e+30,
1,3149,,,2.0163006792543684e+30,
1,3199,,,1.6504768043083566e+30,
1,3249,,,1.3510255239150468e+30,
1,3299,,,1.1059046461636533e+30,
1,3339,,,,9.384736175421601e+29
1,3339,,1.125978603513004e+32,,
2,3349,,,9.052568325002815e+29,
2,3399,,,7.410131928021088e+29,
2,3449,,,6.065688014640124e+29,
2,3499,,,4.965170856380761e+29,
2,3549,,,4.064324042639825e+29,
2,3599,,,3.326920744801997e+29,
2,3649,,,2.7233068835241017e+29,
2,3699,,,2.2292086138323793e+29,
2,3749,,,1.8247561720086738e+29,
2,3799,,,1.4936848290566739e+29,
2,3849,,,1.2226808177324877e+29,
2,3899,,,1.0008459301250819e+29,
2,3949,,,8.192592550079141e+28,
2,3999,,,6.7061843058324616e+28,
2,4049,,,5.489459858877082e+28,
2,4099,,,4.493489616146603e+28,
2,4149,,,3.678221436989576e+28,
2,4199,,,3.0108699686128146e+28,
2,4249,,,2.4645982095400185e+28,
2,4299,,,2.0174382812238263e+28,
2,4349,,,1.6514080075174414e+28,
2,4399,,,1.3517877759506505e+28,
2,4449,,,1.1065286003768046e+28,
2,4499,,,9.057675807066111e+27,
2,4549,,,7.414312743293882e+27,
2,4599,,,6.069110291239094e+27,
2,4649,,,4.967972218401246e+27,
2,4699,,,4.066617144598119e+27,
2,4749,,,3.328797801944468e+27,
2,4799,,,2.7248433801925775e+27,
2,4849,,,2.230466339000132e+27,
2,4899,,,1.8257857040801975e+27,
