epoch,step,test_loss,train_loss_step
0,49,,30078596630.87118
0,99,,3988401187.696287
0,149,,529080801.29511464
0,199,,70129737.16467804
0,249,,9317601.433861021
0,299,,1236956.3906253662
0,349,,163872.77020110472
0,399,,24622.646778918246
0,449,,5658.062980682704
0,499,,3305.681625854688
0,549,,2451.4484006843522
0,599,,2174.1665979121967
0,649,,2471.4160459497043
0,699,,2246.2368156156645
0,749,,1980.3528546417392
0,799,,2560.794824174728
0,849,,2372.1434797500997
0,899,,2451.3392454511745
0,932,2316.086039811246,
