epoch,step,train_loss,val_loss
0,49,3372.5329735570185,
0,99,2974.739129030744,
0,149,2732.7469752176985,
0,199,2460.35401220739,
0,249,2531.542580390981,
0,299,2217.1755537607896,
0,349,3138.1664854411674,
0,399,3445.106136480764,
0,449,2917.574003361863,
0,499,3473.584161951152,
0,549,2263.5841813279158,
0,599,1769.3300495062117,
0,649,1962.2856816768544,
0,699,1616.1675147814565,
0,749,1965.029573053568,
0,799,3202.8595859606776,
0,849,3200.848557204301,
0,899,2389.514498041636,
0,949,1397.3402361198064,
0,999,2371.0346319296923,
0,1049,2904.7431278626195,
0,1099,2404.8484282042673,
0,1149,2241.141309621633,
0,1199,2633.7685681837884,
0,1249,3108.034375513064,
0,1299,2275.261137101548,
0,1349,2901.2162309655723,
0,1399,2133.55140466101,
0,1449,2048.563007260088,
0,1499,2592.9743356858107,
0,1549,2085.9872703730834,
0,1599,2758.683056838684,
0,1649,2781.336612903297,
0,1699,3134.940139271906,
0,1749,1996.8482037061167,
0,1799,2791.921319161275,
0,1849,2346.308682486131,
0,1899,2452.48551455466,
0,1949,2302.9040994231395,
0,1999,2122.0924794740667,
0,2049,2250.1440453798637,
0,2099,1860.953923941403,
0,2149,1482.7347240098595,
0,2199,1917.7710200859099,
0,2249,2733.7956352576334,
0,2299,2295.304447482741,
0,2349,3151.69678667884,
0,2399,2151.251805820546,
0,2449,3118.771481159096,
0,2499,2221.771134453533,
0,2549,2204.5314600620004,
0,2599,2310.399369065871,
0,2649,2837.8988789188124,
0,2699,3104.100972643354,
0,2749,2224.0212383780254,
0,2799,2580.4388372482517,
0,2849,2703.2923549277075,
0,2899,2163.509594144615,
0,2949,2417.864185234259,
0,2999,2543.840477994631,
0,3049,2317.154826230653,
0,3099,2083.2880320637796,
0,3149,2235.8205227613953,
0,3199,1893.0555669991422,
0,3249,4768.7337335662705,
0,3299,2570.1583082610937,
0,3349,2196.2791907260466,
0,3399,2218.328174188993,
0,3449,2716.020719465509,
0,3499,2332.563529080789,
0,3549,2475.949147504134,
0,3599,2370.541283364657,
0,3649,1726.1184530317412,
0,3699,2930.3683356302063,
0,3749,2126.452602280635,
0,3799,4208.316868082271,
0,3849,2617.524988014816,
0,3899,2364.9956265687188,
0,3949,2965.895151168309,
0,3999,1499.6322553037471,
0,4049,2415.340320948805,
0,4099,1929.1420925166592,
0,4149,1941.2209781487995,
0,4199,2128.1430463138568,
0,4249,2368.8579697044593,
0,4299,2474.3713205465333,
0,4349,2185.8168006653905,
0,4399,2364.761479390919,
0,4449,1751.4102156529964,
0,4499,2247.542611281473,
0,4549,1692.3969853054182,
0,4599,2481.9624579201222,
0,4649,2630.9830266091058,
0,4699,2436.5726221420955,
0,4749,2491.3510359092725,
0,4799,2095.9344593540427,
0,4849,2725.736625287516,
0,4899,3210.1470598363576,
0,4949,2238.7898734665696,
0,4999,2758.3305858068074,
0,5049,2235.132923197491,
0,5099,3002.0241057334624,
0,5149,3242.1571329391645,
0,5199,2013.0796364012854,
0,5249,2762.7283009721273,
0,5299,2520.3743159144756,
0,5349,2262.140756953094,
0,5399,1482.9532112556335,
0,5449,2098.414029747012,
0,5499,2049.9297465042296,
0,5549,3013.634829774707,
0,5599,2878.8985782995583,
0,5649,2159.6066981786653,
0,5699,2139.179148168023,
0,5749,1785.2211264186762,
0,5799,2689.2514573254707,
0,5849,2427.447986721692,
0,5899,1926.6085138491599,
0,5949,2210.10944131994,
0,5999,2874.4044765801896,
0,6049,2903.243514744339,
0,6099,1677.0138611488292,
0,6149,2565.872680101223,
0,6199,2771.0771865762476,
0,6249,3190.9556151015763,
0,6299,2614.134626131883,
0,6349,1954.8331556165874,
0,6399,1972.977923252985,
0,6449,2312.2234920927112,
0,6499,2610.4961136060097,
0,6549,2420.8286693595333,
0,6599,2088.679792909882,
0,6649,3481.839212663297,
0,6681,,7318.3382071413635
1,6699,2317.2945391135827,
1,6749,2218.730973015924,
1,6799,1541.301383636437,
1,6849,2422.1749995544747,
1,6899,2569.357551809162,
1,6949,2610.883316665824,
1,6999,2083.959352871036,
1,7049,3079.24781454618,
1,7099,2835.9140129417037,
1,7149,2604.9570850551536,
1,7199,2857.857056436733,
1,7249,2903.475611911516,
1,7299,2535.278393601719,
1,7349,1608.0528515628334,
1,7399,2183.5411010328335,
1,7449,1909.6551722568056,
1,7499,1932.4554319827462,
1,7549,2331.4716672468967,
1,7599,2696.21276862395,
1,7649,2096.803769370351,
1,7699,2871.0616732910203,
1,7749,1610.1699229670658,
1,7799,1922.5788393666144,
1,7849,1922.9609317751017,
1,7899,2709.5649417358236,
1,7949,2303.7895779926575,
1,7999,1935.2290127965352,
1,8049,2730.5987537060764,
1,8099,1638.163121643471,
1,8149,2426.8779387607005,
1,8199,2477.6857709670667,
1,8249,1719.0940770921666,
1,8299,2049.1774797917556,
1,8349,2552.7390778934914,
1,8399,2519.3583477981256,
1,8449,1538.9056803461397,
1,8499,3216.1001821512614,
1,8549,2139.872640273102,
1,8599,2725.3375841906727,
1,8649,2609.282648599203,
1,8699,2841.497718831493,
1,8749,2389.3715100087434,
1,8799,1795.5225077614675,
1,8849,2405.040759821169,
1,8899,1553.4785759902989,
1,8949,2393.0593618607986,
1,8999,2070.205099866577,
1,9049,2556.8488968527427,
1,9099,2599.682090640555,
1,9149,2099.807938251498,
1,9199,2588.3847136425484,
1,9249,1452.1390675660623,
1,9299,2318.8450348756082,
1,9349,2691.0819189927242,
1,9399,2501.391383067288,
1,9449,3038.6717947588513,
1,9499,2394.0381294011286,
1,9549,2190.638586481788,
1,9599,2550.832295078708,
1,9649,2354.2574998936198,
1,9699,2362.375487713309,
1,9749,2009.8955490565602,
1,9799,2482.4821940558368,
1,9849,2685.159159971442,
1,9899,2689.3985099506435,
1,9949,2579.594574628595,
1,9999,2621.2594582573756,
1,10049,1980.7714427695157,
1,10099,2963.297018830609,
1,10149,2308.2412367844317,
1,10199,2296.880625220224,
1,10249,2606.756775475038,
1,10299,2329.263820868043,
1,10349,1891.5039097134209,
1,10399,2664.45181834744,
1,10449,2487.680809033385,
1,10499,3136.7160649707757,
1,10549,2787.010321766402,
1,10599,2356.214462762333,
1,10649,2137.6095175749506,
1,10699,2457.2493353109385,
1,10749,2123.3156513704043,
1,10799,2976.437517270543,
1,10849,2145.79343365289,
1,10899,3025.49948314766,
1,10949,2765.7111653061793,
1,10999,2277.591297765069,
1,11049,1821.748586477247,
1,11099,1989.5868380128509,
1,11149,2682.8905414275914,
1,11199,2269.135243552515,
1,11249,2539.6214274942777,
1,11299,2474.5384743030863,
1,11349,2034.19857681332,
1,11399,2464.316299501054,
1,11449,1776.313881962451,
1,11499,2536.0720513905626,
1,11549,1808.9007311865098,
1,11599,2611.5043583065953,
1,11649,2196.741340722757,
1,11699,1642.8758689929368,
1,11749,2466.426887941879,
1,11799,1890.1864147260244,
1,11849,2145.2445664317147,
1,11899,3282.039890249007,
1,11949,2722.147781936067,
1,11999,2263.441497754995,
1,12049,2699.0633428729684,
1,12099,2609.8931683905275,
1,12149,2316.3442400437016,
