epoch,step,test_loss,val_loss
0,99,,647.4687304767298
1,199,,491.8091858783018
2,299,,427.22753184095967
3,399,,425.0894954081385
4,499,,440.86958077343974
5,599,,430.4606189750296
6,628,418.97594865789875,
