epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2458.3355726589843,
0,99,,,2459.411813311447,
0,149,,,2422.429670399182,
0,199,,,2649.943967486187,
0,249,,,2481.4056882315117,
0,299,,,2262.0161427053044,
0,349,,,2428.0530495398516,
0,399,,,2530.0503962732214,
0,449,,,2069.2771243398315,
0,499,,,2304.6893854279124,
0,549,,,2594.5088363596997,
0,599,,,2303.910025494557,
0,649,,,2162.9596994614008,
0,699,,,2766.5372760201794,
0,749,,,2155.4760123189817,
0,799,,,1923.2330332194026,
0,849,,,1849.5713470201188,
0,899,,,2006.4222654157884,
0,949,,,1643.0425568738897,
0,999,,,1305.8500164233724,
0,1049,,,1392.852100488619,
0,1099,,,1305.6018272566298,
0,1149,,,1143.4926443429902,
0,1199,,,1565.1241264807798,
0,1249,,,1210.1755164486453,
0,1299,,,1108.1814571714622,
0,1349,,,1292.7952178532364,
0,1399,,,1103.4172680947036,
0,1449,,,1471.3251460705349,
0,1499,,,857.3358797246837,
0,1549,,,991.1469761120105,
0,1599,,,1166.8650721935965,
0,1649,,,1111.234678759669,
0,1669,,,,912.023373692045
0,1669,,1829.2705767935242,,
1,1699,,,1210.548042500418,
1,1749,,,1508.1337629750915,
1,1799,,,983.1673711960177,
1,1849,,,810.9693340225535,
1,1899,,,1036.6145113063023,
1,1949,,,1042.6740311652934,
1,1999,,,1264.6396480242897,
1,2049,,,964.6649503328938,
1,2099,,,830.782191016651,
1,2149,,,1052.2299381302578,
1,2199,,,1087.8869876746812,
1,2249,,,912.0380622319411,
1,2299,,,935.5995281567339,
1,2349,,,800.9176584472152,
1,2399,,,751.7272824242275,
1,2449,,,933.522622718737,
1,2499,,,1039.337482389315,
1,2549,,,907.2564536278151,
1,2599,,,1201.4454205965958,
1,2649,,,1169.8414872620278,
1,2699,,,959.8202813842632,
1,2749,,,908.5560751457589,
1,2799,,,647.5035714089764,
1,2849,,,1066.904951184535,
1,2899,,,939.4497667119081,
1,2949,,,862.5255887328024,
1,2999,,,949.2223144866216,
1,3049,,,774.3748630716261,
1,3099,,,1189.151058901305,
1,3149,,,855.6175128094189,
1,3199,,,846.8933593935726,
1,3249,,,669.8421707283004,
1,3299,,,993.075810524932,
1,3339,,,,751.5406429411175
1,3339,,961.7022165810022,,
2,3349,,,827.1027571305556,
2,3399,,,980.5635112186696,
2,3449,,,727.891285248633,
2,3499,,,772.3581782137835,
2,3549,,,770.2938090673775,
2,3599,,,777.4658282922858,
2,3649,,,871.8455888805265,
2,3699,,,1052.4689975265253,
2,3749,,,1056.5689833679971,
2,3799,,,881.0612747791637,
2,3849,,,856.3477987179753,
2,3899,,,711.2270102217683,
2,3949,,,745.0866734216352,
2,3999,,,757.4975206243246,
2,4049,,,1024.6896112477348,
2,4099,,,930.1083207948611,
2,4149,,,874.6563063089839,
2,4199,,,799.6046677886445,
2,4249,,,630.0697630200924,
2,4299,,,737.5871227841685,
2,4349,,,701.2684778964322,
2,4399,,,1653.3503952762871,
2,4449,,,728.4712221464509,
2,4499,,,911.4759561597637,
2,4549,,,744.128432563429,
2,4599,,,980.6156687977111,
2,4649,,,1167.377674809924,
2,4699,,,933.5617640977,
2,4749,,,835.4409175603276,
2,4799,,,870.0356888598444,
2,4849,,,1000.4391567248329,
2,4899,,,799.8152878004975,
2,4949,,,732.3457269606006,
2,4999,,,800.4535045821954,
2,5009,,,,765.222253598282
2,5009,,867.0325583192471,,
3,5049,,,929.5957592663406,
3,5099,,,606.0422600929941,
3,5149,,,759.3686493444053,
3,5199,,,863.7111271284236,
3,5249,,,904.419812360846,
3,5299,,,705.2573351347073,
3,5349,,,808.2546372755376,
3,5354,822.1654968554502,,,
