epoch,step,test_loss,train_loss_step
0,49,,3043.0233330821766
0,99,,2257.290205123302
0,149,,2569.650818452369
0,199,,2084.7221399198497
0,249,,2593.3980994128724
0,299,,2102.2978364571136
0,349,,2524.742110264562
0,399,,2068.2121666880976
0,449,,2506.128085703843
0,499,,1957.9356295969064
0,549,,2322.2254280170946
0,599,,2219.632514899736
0,649,,2267.0079998587735
0,699,,2224.0810576967297
0,749,,2302.3625625753602
0,799,,2193.9428735739452
0,849,,2565.8885222804224
0,899,,2319.158918779828
0,921,2315.9157677863923,
