epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,4275.643653986038,
0,99,,,4136.095941362961,
0,149,,,3563.154189954087,
0,199,,,4756.359734487093,
0,249,,,3767.008110572466,
0,299,,,3508.1377953484725,
0,349,,,3224.208560517544,
0,399,,,2391.2430537153828,
0,449,,,2880.66124262053,
0,499,,,2565.6236650903247,
0,549,,,2867.6538605370774,
0,599,,,2781.3208550593417,
0,649,,,2325.2166877739,
0,699,,,2377.081114776506,
0,749,,,2563.184588795325,
0,799,,,1831.622423029637,
0,849,,,2226.019279684657,
0,899,,,2552.9735211263996,
0,949,,,2683.0271913806855,
0,999,,,2233.7478987835057,
0,1049,,,2196.2945595435967,
0,1099,,,2372.6384443558795,
0,1149,,,2499.3267685198425,
0,1199,,,2765.436234208363,
0,1249,,,2177.7231658879846,
0,1299,,,2487.1921420659023,
0,1349,,,2212.2936616978177,
0,1399,,,2384.4285007678372,
0,1449,,,2207.2986525902243,
0,1499,,,2241.714714623077,
0,1549,,,2086.0714721646477,
0,1599,,,2370.5722150586653,
0,1649,,,2241.3755933526936,
0,1669,,,,2275.628145068112
0,1669,,2724.9737611829732,,
1,1699,,,2779.719010673466,
1,1749,,,2298.25350346932,
1,1799,,,2492.9851430815834,
1,1849,,,2260.5485272387473,
1,1899,,,2607.6737883947594,
1,1949,,,2304.52068465743,
1,1999,,,2240.3981907214857,
1,2049,,,2067.9898188073116,
1,2099,,,2283.3862404988076,
1,2149,,,2182.620235528684,
1,2199,,,2098.1102923116505,
1,2249,,,2444.7480971573586,
1,2299,,,2114.2868715420486,
1,2349,,,2358.2879207276223,
1,2399,,,2618.308757417753,
1,2449,,,2278.11499660562,
1,2499,,,2287.0447753557405,
1,2549,,,2454.9696136605717,
1,2599,,,2096.56879600716,
1,2649,,,2132.583691744321,
1,2699,,,2666.964048717798,
1,2749,,,2069.2178997982624,
1,2799,,,1791.9098473147187,
1,2849,,,1977.5661898962917,
1,2899,,,2096.7610482745563,
1,2949,,,2347.9110796532527,
1,2999,,,2229.864571322213,
1,3049,,,2200.552730599975,
1,3099,,,2752.8907472436053,
1,3149,,,2268.060127971202,
1,3199,,,2423.0676212576172,
1,3249,,,2187.1375802297252,
1,3299,,,2267.6213192382224,
1,3339,,,,2273.705482732794
1,3339,,2320.9344604157277,,
2,3349,,,2298.884508117,
2,3399,,,2445.224446173408,
2,3449,,,2235.806712679828,
2,3499,,,2594.8315415152324,
2,3549,,,2020.039488135993,
2,3599,,,2283.192896409958,
2,3649,,,2220.548289805305,
2,3699,,,2273.1960513675294,
2,3749,,,2099.2793494472794,
2,3799,,,2411.7149104286555,
2,3800,2315.8353625712625,,,
