epoch,step,train_loss_step
0,49,48.31075961669072
0,99,33.456971055646115
0,149,24.497176329063365
0,199,15.315544966645835
0,249,24.28544607624144
0,299,24.35770637399345
0,349,17.586692945368174
0,399,19.463502211498664
0,449,19.550478116821793
0,499,17.468593251936
0,549,17.5942110707873
0,599,23.98329591868933
0,649,19.53124654438996
0,699,19.18001372108664
0,749,15.516051315759015
0,799,25.71462592366067
0,849,15.325079969554842
0,899,19.262138200810192
0,949,15.78928365353529
0,999,25.271240863629153
0,1049,14.692649966899033
0,1099,12.69333616862584
0,1149,14.103979184266851
0,1199,17.797671879809464
0,1249,15.225614213984496
0,1299,11.672047397115
0,1349,20.559768815612276
0,1399,19.58340939597794
0,1449,18.295333612465512
0,1499,14.192396459330801
0,1549,9.938263143890987
0,1599,20.445406433501752
0,1649,10.744908916454758
0,1699,23.029139771712682
0,1749,18.35994674353139
0,1799,21.34072432651278
0,1849,12.094120671624461
0,1899,15.795177848119344
0,1949,29.69269928652253
0,1999,15.699556996723459
0,2049,12.274206017517718
0,2099,19.29179875157591
0,2149,12.503673815697411
0,2199,13.87799868330464
0,2249,15.544372166145873
0,2299,13.414857050334742
0,2349,24.302755296833357
0,2399,17.32842303522802
0,2449,23.819692153321903
0,2499,13.925722402907201
0,2549,13.785811004831373
0,2599,16.584006713196136
0,2649,10.279667284468335
0,2699,12.20468841171
0,2749,22.528116653880964
0,2799,10.414347749605334
0,2849,16.60648625818461
0,2899,10.827724074333798
0,2949,18.8303356093531
0,2999,11.353402436176795
0,3049,17.380759195538396
0,3099,18.967392736484694
0,3149,14.388180166296793
0,3199,13.218567834476646
0,3249,20.961897105688806
0,3299,7.84618322028384
0,3349,14.83193387157121
0,3399,16.638675332627255
0,3449,15.730177296901697
0,3499,19.179911976190084
0,3549,12.625364386866162
0,3599,9.704603651780275
0,3649,15.234496848792858
0,3699,13.854638859968379
0,3749,19.410058465231934
0,3799,21.860238092250945
0,3849,15.142016794919819
0,3899,11.978318325600116
0,3949,12.233637507491684
0,3999,10.195775248403148
0,4049,8.845040213144207
0,4099,16.575666142171507
0,4149,15.251682188389573
0,4199,10.73197069475652
0,4249,11.754720111397905
0,4299,13.17772647914313
0,4349,11.601367195224976
0,4399,12.511835435305112
0,4449,11.430762970668791
0,4499,14.754051710638478
0,4549,15.890969091558109
0,4599,13.19561372946949
0,4649,16.14549958762305
0,4699,11.967493278544612
0,4749,13.664888609802029
0,4799,9.237211989626516
0,4849,6.989284279662847
0,4899,22.378542428833395
0,4949,12.040989167945533
0,4999,16.494887236624642
0,5049,15.556599421396776
0,5099,20.589544644149765
0,5149,31.558837768694275
0,5199,18.75893920945174
0,5249,11.5848844640407
0,5299,11.211772628886322
0,5349,16.67577404093099
0,5399,10.226131336044649
0,5449,15.793709927454465
0,5499,19.087849294118072
0,5549,8.625641276466858
0,5599,23.791466678646657
0,5649,14.303826989190028
0,5699,13.486546711297665
0,5749,17.30345540787271
0,5799,21.532639464177006
0,5849,17.949246512637306
0,5899,9.779240592231755
0,5949,16.546977701745973
0,5999,12.83122048685139
0,6049,13.194694044731841
0,6099,12.793785889650323
0,6149,12.844465659578102
0,6199,11.959880689786727
0,6249,18.34108781030054
0,6299,11.812814854288836
0,6349,17.148198382079123
0,6399,13.9936740498923
0,6449,12.203399134117154
0,6499,18.647222508721118
0,6549,13.27964356332515
0,6599,15.801602227973236
0,6649,22.279062953246665
