epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,4674.98274064782,
0,99,,,6452.151239007388,
0,149,,,5399.858052681002,
0,199,,,4723.411904030547,
0,249,,,5016.099742523198,
0,299,,,4844.211672998924,
0,349,,,4205.352393119008,
0,399,,,4626.266680176514,
0,449,,,4685.7529988765045,
0,499,,,4741.25142517896,
0,549,,,4891.199842355637,
0,599,,,4281.306672052064,
0,649,,,3662.1421598736156,
0,699,,,3685.9293989929156,
0,749,,,4010.1048881420074,
0,799,,,4497.129419210452,
0,849,,,4011.8033166959904,
0,899,,,4308.1750969395,
0,949,,,4369.440657810859,
0,999,,,4254.1738587272375,
0,1049,,,3883.951151637495,
0,1099,,,4102.102138240302,
0,1149,,,4575.825665744947,
0,1199,,,4439.4153703411375,
0,1249,,,4544.577928932719,
0,1299,,,3489.041631212588,
0,1349,,,3402.065853161887,
0,1399,,,3965.1902389579764,
0,1449,,,3283.107611682626,
0,1499,,,3879.5221953691153,
0,1549,,,4156.490797287129,
0,1599,,,3616.668587415471,
0,1649,,,3630.8199271684157,
0,1669,,,,3564.192996658953
0,1669,,4278.816207220346,,
1,1699,,,3958.28122709118,
1,1749,,,3745.946168351775,
1,1799,,,4052.64656969538,
1,1849,,,4100.578161906352,
1,1899,,,3709.6896429981207,
1,1949,,,3969.27135516943,
1,1999,,,3424.31630214112,
1,2049,,,3082.39817512643,
1,2099,,,3379.886207703954,
1,2149,,,3274.6093002734237,
1,2199,,,2831.3071922480203,
1,2249,,,3452.0153338433947,
1,2299,,,3984.0558513489595,
1,2349,,,3485.051838840335,
1,2399,,,3360.970064381809,
1,2449,,,2810.064946535188,
1,2499,,,3448.3019654831883,
1,2549,,,2738.625871261206,
1,2599,,,3569.986357522942,
1,2649,,,3312.2544806153273,
1,2699,,,3354.7425829887634,
1,2749,,,3067.125912042805,
1,2799,,,3497.859445301012,
1,2849,,,3473.2305223858984,
1,2899,,,3380.970762667412,
1,2949,,,3071.61624445255,
1,2999,,,3466.6259282955903,
1,3049,,,2795.184546853815,
1,3099,,,3180.025023287752,
1,3149,,,2864.774672249127,
1,3199,,,3448.530893848576,
1,3249,,,2536.0681749768924,
1,3299,,,2568.016816146679,
1,3339,,,,2778.9428293047185
1,3339,,3211.1123940036387,,
2,3349,,,3026.2677959198763,
2,3399,,,2974.7364062330353,
2,3449,,,2841.782831257136,
2,3499,,,2609.3132358586413,
2,3549,,,2553.8288761578324,
2,3599,,,2593.8482746990962,
2,3649,,,2804.78268033849,
2,3699,,,3274.567692545043,
2,3749,,,2638.397514790001,
2,3799,,,2805.493084189714,
2,3849,,,2103.303858501692,
2,3899,,,2724.2266413608086,
2,3949,,,2915.460647411449,
2,3999,,,2875.1387871706975,
2,4049,,,2148.033134805105,
2,4099,,,2939.283509475959,
2,4149,,,2687.511874091489,
2,4199,,,2196.4212069854984,
2,4249,,,2565.930538539422,
2,4299,,,2656.678051658615,
2,4349,,,2026.281377767053,
2,4399,,,1809.9292088110708,
2,4449,,,2669.3640848976015,
2,4499,,,2703.529482238908,
2,4549,,,2753.580736050775,
2,4599,,,2789.881634004236,
2,4649,,,2466.848499013501,
2,4699,,,2859.784206229568,
2,4749,,,2308.6760563724292,
2,4799,,,2238.122220883185,
2,4849,,,2833.2202830275055,
2,4899,,,2491.9751059491164,
2,4949,,,1955.1822802665438,
2,4999,,,2112.1587760658335,
2,5009,,,,2399.2879967742165
2,5009,,2626.5523179866423,,
3,5049,,,2610.621356361651,
3,5099,,,2260.0090509923607,
3,5149,,,2283.500515264139,
3,5199,,,2205.8978373131076,
3,5249,,,2504.92486280518,
3,5299,,,2353.11027743256,
3,5349,,,2178.913341383127,
3,5399,,,2400.6042807919393,
3,5449,,,2223.750745933965,
3,5499,,,2224.3577000718187,
3,5549,,,3214.105161680938,
3,5599,,,2844.421787470229,
3,5649,,,2584.7659897718595,
3,5699,,,2050.7125207530316,
3,5749,,,2069.299693682846,
3,5799,,,2353.7598862562436,
3,5849,,,2698.510606568452,
3,5899,,,2262.0294189845226,
3,5949,,,2270.953175226541,
3,5999,,,2568.7717027075205,
3,6049,,,2742.2589394341994,
3,6099,,,2708.3418346038825,
3,6149,,,2164.2621762440485,
3,6199,,,2555.353464574538,
3,6249,,,2369.2534250822123,
3,6299,,,2370.29207596417,
3,6349,,,2740.4710109304515,
3,6399,,,2670.1277479306073,
3,6449,,,2385.497492265393,
3,6499,,,2586.66525973655,
3,6549,,,2802.757288675425,
3,6599,,,2238.6149223877405,
3,6649,,,2812.329504461719,
3,6679,,,,2374.6471343011744
3,6679,,2446.081078079447,,
4,6699,,,2332.691960605307,
4,6749,,,2317.0596429124444,
4,6783,2419.773532784309,,,
