epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,7.946383291256838e+82,
0,99,,,1.0538458230559692e+82,
0,149,,,1.3976056503522317e+81,
0,199,,,1.8534984066571068e+80,
0,249,,,2.458101355424982e+79,
0,299,,,3.259923101007521e+78,
0,349,,,4.3232955390666487e+77,
0,399,,,5.733535343927862e+76,
0,449,,,7.60378911018583e+75,
0,499,,,1.008411134910205e+75,
0,549,,,1.337350368711154e+74,
0,599,,,1.7735881197415767e+73,
0,649,,,2.35212468780338e+72,
0,699,,,3.119377315055693e+71,
0,749,,,4.136904341908529e+70,
0,799,,,5.486344166029848e+69,
0,849,,,7.275965267846484e+68,
0,899,,,9.649352825274491e+67,
0,949,,,1.2796928863596846e+67,
0,999,,,1.6971230227069627e+66,
0,1049,,,2.250717015701583e+65,
0,1099,,,2.9848909106710805e+64,
0,1149,,,3.958549069674839e+63,
0,1199,,,5.249810196078662e+62,
0,1249,,,6.962274967356982e+61,
0,1299,,,9.233338141880401e+60,
0,1349,,,1.2245212038022628e+60,
0,1399,,,1.6239545823196462e+59,
0,1449,,,2.1536813550048118e+58,
0,1499,,,2.856202648395484e+57,
0,1549,,,3.7878832677562743e+56,
0,1599,,,5.023473967510035e+55,
0,1649,,,6.662108866200351e+54,
0,1669,,,,2.851720150162621e+54
0,1669,,6.557986568666304e+83,,
1,1699,,,8.835259191579878e+53,
1,1749,,,1.1717281502023592e+53,
1,1799,,,1.553940669092175e+52,
1,1849,,,2.0608292142179978e+51,
1,1899,,,2.7330625516452415e+50,
1,1949,,,3.624575418317728e+49,
1,1999,,,4.8068958228433685e+48,
1,2049,,,6.374883892578308e+47,
1,2099,,,8.454342707143501e+46,
1,2149,,,1.121211175203416e+46,
1,2199,,,1.4869452811971136e+45,
1,2249,,,1.9719802283216013e+44,
1,2299,,,2.6152314211324427e+43,
1,2349,,,3.468308296325889e+42,
1,2399,,,4.599655059648273e+41,
1,2449,,,6.100042112796085e+40,
1,2499,,,8.089848759383091e+39,
1,2549,,,1.0728721497251055e+39,
1,2599,,,1.4228382802839266e+38,
1,2649,,,1.8869618084130892e+37,
1,2699,,,2.5024803702210445e+36,
1,2749,,,3.318778353340525e+35,
1,2799,,,4.401349113331409e+34,
1,2849,,,5.837049647477769e+33,
1,2899,,,7.741069319841278e+32,
1,2949,,,1.026617175347848e+32,
1,2999,,,1.3614951386855736e+31,
1,3049,,,1.8056088064534624e+30,
1,3099,,,2.3945903803151276e+29,
1,3149,,,3.1756951278720785e+28,
1,3199,,,4.2115927751562925e+27,
1,3249,,,5.5853956345079395e+26,
1,3299,,,7.407326885440544e+25,
1,3339,,,,1.413187272044018e+25
1,3339,,4.312163778749488e+52,,
2,3349,,,9.823564019150374e+24,
2,3399,,,1.3027966975125792e+24,
2,3449,,,1.727763194487504e+23,
2,3499,,,2.291351875467188e+22,
2,3549,,,3.0387806809957094e+21,
2,3599,,,4.030017444163858e+20,
2,3649,,,5.344591244899519e+19,
2,3699,,,7.087973179428013e+18,
2,3749,,,9.400038567316908e+17,
2,3799,,,1.246628973399795e+17,
2,3849,,,1.6532738672060972e+16,
2,3899,,,2192564380667048.0,
2,3949,,,290776678702988.1,
2,3999,,,38562682359928.01,
2,4049,,,5114161890120.51,
2,4099,,,678225051225.7661,
2,4149,,,89945009322.94109,
2,4199,,,11928321195.500195,
2,4249,,,1581945925.1671028,
2,4299,,,209809076.88827246,
2,4349,,,27861322.991582096,
2,4399,,,3677195.7460529925,
2,4449,,,489999.0414963054,
2,4499,,,63098.15901074257,
2,4549,,,9928.309148823952,
2,4599,,,3570.1213759866655,
2,4649,,,2303.724021055266,
2,4699,,,2311.0738816782605,
2,4749,,,2261.9142868838353,
2,4799,,,2273.784544811133,
2,4849,,,2424.649416194643,
2,4899,,,2669.5700989177913,
2,4949,,,2171.7884519672107,
2,4999,,,2115.908971518639,
2,5009,,,,2273.7421890145224
2,5009,,2.136918998434592e+23,,
3,5049,,,2260.354253762573,
3,5099,,,2309.4857408485896,
3,5149,,,2140.8614030403896,
3,5179,2317.068036049316,,,
